date,game,score,league,season,game_id,home,away,score_home,actual,predicted,prob_home,prob_draw,prob_away,correct,odds_1,odds_X,odds_2,odds_outcome,return
2019-09-19,Djurgårdens IF  - Örebro HK,4 - 2,shl,2019/20,441818,Djurgårdens IF,Örebro HK,4,home,away,0.29,0.19,0.52,0,1.76,4.5,4.05,1.76,-1.0
2019-09-19,Färjestad BK  - Växjö Lakers HC,4 - 2,shl,2019/20,441819,Färjestad BK,Växjö Lakers HC,4,home,draw,0.2,0.44,0.36,0,2.06,4.15,3.2,2.06,-1.0
2019-09-19,Frölunda HC  - Linköping HC,4 - 0,shl,2019/20,441820,Frölunda HC,Linköping HC,4,home,draw,0.21,0.56,0.23,0,1.62,4.75,4.7,1.62,-1.0
2019-09-19,Luleå HF  - HV 71,3 - 2,shl,2019/20,441821,Luleå HF,HV 71,3,draw,home,0.46,0.2,0.34,0,1.82,4.2,4.0,4.2,-1.0
2019-09-19,Rögle BK  - IK Oskarshamn,0 - 1,shl,2019/20,441822,Rögle BK,IK Oskarshamn,0,away,home,0.51,0.18,0.31,0,1.53,5.1,5.25,5.25,-1.0
2019-09-21,HV 71  - Leksands IF,2 - 1,shl,2019/20,441825,HV 71,Leksands IF,2,draw,home,0.5,0.23,0.27,0,1.84,4.45,3.7,4.45,-1.0
2019-09-21,Linköping HC  - Rögle BK,2 - 3,shl,2019/20,441826,Linköping HC,Rögle BK,2,away,home,0.38,0.27,0.35,0,2.68,4.3,2.3,2.3,-1.0
2019-09-21,IF Malmö Redhawks  - Luleå HF,4 - 1,shl,2019/20,441827,IF Malmö Redhawks,Luleå HF,4,home,home,0.36,0.31,0.33,1,2.78,4.1,2.28,2.78,2.78
2019-09-21,IK Oskarshamn  - Djurgårdens IF,3 - 2,shl,2019/20,441828,IK Oskarshamn,Djurgårdens IF,3,home,home,0.39,0.23,0.38,1,3.8,4.5,1.81,3.8,3.8
2019-09-21,Örebro HK  - Frölunda HC,3 - 4,shl,2019/20,441829,Örebro HK,Frölunda HC,3,away,home,0.63,0.18,0.19,0,2.52,4.35,2.42,2.42,-1.0
2019-09-21,Växjö Lakers HC  - Skellefteå AIK,1 - 4,shl,2019/20,441830,Växjö Lakers HC,Skellefteå AIK,1,away,home,0.49,0.16,0.35,0,1.94,4.15,3.55,3.55,-1.0
2019-09-24,Leksands IF  - Brynäs IF,5 - 1,shl,2019/20,441836,Leksands IF,Brynäs IF,5,home,home,0.57,0.24,0.19,1,2.77,4.15,2.29,2.77,2.77
2019-09-26,Djurgårdens IF  - HV 71,2 - 1,shl,2019/20,441831,Djurgårdens IF,HV 71,2,draw,home,0.44,0.17,0.39,0,1.78,4.4,4.0,4.4,-1.0
2019-09-26,Färjestad BK  - IF Malmö Redhawks,4 - 3,shl,2019/20,441832,Färjestad BK,IF Malmö Redhawks,4,draw,home,0.59,0.24,0.17,0,1.7,4.55,4.3,4.55,-1.0
2019-09-26,Luleå HF  - Linköping HC,4 - 1,shl,2019/20,441833,Luleå HF,Linköping HC,4,home,home,0.4,0.28,0.32,1,1.72,4.35,4.3,1.72,1.72
2019-09-26,Örebro HK  - Rögle BK,2 - 3,shl,2019/20,441834,Örebro HK,Rögle BK,2,draw,home,0.46,0.16,0.38,0,2.72,4.2,2.29,4.2,-1.0
2019-09-26,Skellefteå AIK  - Frölunda HC,1 - 6,shl,2019/20,441835,Skellefteå AIK,Frölunda HC,1,away,home,0.54,0.13,0.33,0,2.55,4.15,2.47,2.47,-1.0
2019-09-26,Växjö Lakers HC  - IK Oskarshamn,3 - 2,shl,2019/20,441837,Växjö Lakers HC,IK Oskarshamn,3,home,home,0.55,0.1,0.35,1,1.68,4.55,4.45,1.68,1.68
2019-09-28,IF Malmö Redhawks  - Örebro HK,4 - 1,shl,2019/20,441842,IF Malmö Redhawks,Örebro HK,4,home,away,0.37,0.21,0.42,0,2.09,4.2,3.1,2.09,-1.0
2019-09-28,IK Oskarshamn  - Luleå HF,2 - 4,shl,2019/20,441843,IK Oskarshamn,Luleå HF,2,away,home,0.52,0.17,0.31,0,4.0,4.0,1.85,1.85,-1.0
2019-09-28,Rögle BK  - Leksands IF,5 - 3,shl,2019/20,441844,Rögle BK,Leksands IF,5,home,home,0.44,0.23,0.33,1,1.84,4.2,3.85,1.84,1.84
2019-09-28,Frölunda HC  - Färjestad BK,5 - 2,shl,2019/20,441839,Frölunda HC,Färjestad BK,5,home,home,0.43,0.3,0.27,1,1.9,4.4,3.5,1.9,1.9
2019-09-28,HV 71  - Skellefteå AIK,1 - 3,shl,2019/20,441840,HV 71,Skellefteå AIK,1,away,home,0.53,0.2,0.27,0,2.11,4.15,3.08,3.08,-1.0
2019-09-28,Linköping HC  - Växjö Lakers HC,3 - 2,shl,2019/20,441841,Linköping HC,Växjö Lakers HC,3,home,home,0.41,0.38,0.21,1,2.9,4.25,2.18,2.9,2.9
2019-10-01,Brynäs IF  - Djurgårdens IF,4 - 3,shl,2019/20,441838,Brynäs IF,Djurgårdens IF,4,home,home,0.47,0.2,0.33,1,2.53,4.2,2.46,2.53,2.53
2019-10-01,HV 71  - Linköping HC,5 - 0,shl,2019/20,441861,HV 71,Linköping HC,5,home,home,0.5,0.26,0.24,1,1.77,4.35,4.1,1.77,1.77
2019-10-03,Djurgårdens IF  - Färjestad BK,5 - 6,shl,2019/20,441845,Djurgårdens IF,Färjestad BK,5,draw,home,0.61,0.15,0.24,0,1.98,4.5,3.18,4.5,-1.0
2019-10-03,IK Oskarshamn  - HV 71,2 - 3,shl,2019/20,441846,IK Oskarshamn,HV 71,2,draw,draw,0.26,0.44,0.3,1,3.55,4.35,1.9,4.35,4.35
2019-10-03,Örebro HK  - Brynäs IF,6 - 1,shl,2019/20,441847,Örebro HK,Brynäs IF,6,home,home,0.45,0.16,0.39,1,2.43,4.35,2.5,2.43,2.43
2019-10-03,Rögle BK  - Luleå HF,3 - 2,shl,2019/20,441848,Rögle BK,Luleå HF,3,draw,home,0.45,0.24,0.31,0,2.02,4.35,3.17,4.35,-1.0
2019-10-03,Skellefteå AIK  - Linköping HC,3 - 1,shl,2019/20,441849,Skellefteå AIK,Linköping HC,3,home,home,0.4,0.23,0.37,1,1.61,4.8,4.75,1.61,1.61
2019-10-03,Leksands IF  - Frölunda HC,2 - 4,shl,2019/20,441850,Leksands IF,Frölunda HC,2,away,home,0.5,0.18,0.32,0,3.2,4.55,1.97,1.97,-1.0
2019-10-03,Leksands IF  - Frölunda HC,2 - 4,shl,2019/20,441850,Leksands IF,Frölunda HC,2,away,home,0.5,0.18,0.32,0,,,,,-1.0
2019-10-03,Växjö Lakers HC  - IF Malmö Redhawks,1 - 4,shl,2019/20,441851,Växjö Lakers HC,IF Malmö Redhawks,1,away,home,0.4,0.24,0.36,0,1.97,4.3,3.35,3.35,-1.0
2019-10-05,Brynäs IF  - HV 71,1 - 4,shl,2019/20,441852,Brynäs IF,HV 71,1,away,home,0.41,0.21,0.38,0,2.08,4.25,3.07,3.07,-1.0
2019-10-05,Färjestad BK  - IK Oskarshamn,12 - 0,shl,2019/20,441853,Färjestad BK,IK Oskarshamn,12,home,away,0.38,0.23,0.39,0,1.48,5.4,5.6,1.48,-1.0
2019-10-05,Linköping HC  - IF Malmö Redhawks,1 - 2,shl,2019/20,441855,Linköping HC,IF Malmö Redhawks,1,draw,away,0.33,0.25,0.42,0,2.82,4.3,2.2,4.3,-1.0
2019-10-05,Leksands IF  - Växjö Lakers HC,1 - 3,shl,2019/20,441907,Leksands IF,Växjö Lakers HC,1,away,home,0.49,0.21,0.3,0,2.28,4.45,2.65,2.65,-1.0
