playername,season,team,predicted_2019
Niklas Arell ,2019-20,Malmö Redhawks,0.24607806374403268
Peter Andersson ,2019-20,Växjö Lakers HC,0.22186040138111185
Martin Karlsson ,2019-20,Leksands IF,0.34229057642233385
Daniel Mannberg ,2019-20,Brynäs IF,0.3769859749644334
Emil Sylvegård ,2019-20,Malmö Redhawks,0.3398337843701681
Joachim Rohdin ,2019-20,Brynäs IF,0.3656277592312291
Nils Andersson ,2019-20,HV71,0.3566929891611527
Adam Pettersson ,2019-20,Skellefteå AIK,0.3959430181498156
Johan Alm ,2019-20,IK Oskarshamn,0.22151735663116662
Fredrik Forsberg ,2019-20,Leksands IF,0.24949217059771464
Sebastian Strandberg ,2019-20,Djurgårdens IF,0.5606592133870509
Ilari Melart ,2019-20,Växjö Lakers HC,0.2968535609170869
Filip Karlsson ,2019-20,Linköping HC,0.4010929873649959
Filip Berglund ,2019-20,Skellefteå AIK,0.14270676167064106
Tomi Sallinen ,2019-20,Brynäs IF,0.42273909293981743
Andrew Gordon ,2019-20,Linköping HC,0.47975806922558933
Alexander Lindelöf ,2019-20,Brynäs IF,0.2648423293826804
Markus Lauridsen ,2019-20,HV71,0.21503836702672982
Ryan Lasch ,2019-20,Frölunda HC,0.9455881889406291
Taylor Matson ,2019-20,Rögle BK,0.40659554336142184
Jonas Engström ,2019-20,IK Oskarshamn,0.34017453639124673
Johannes Salmonsson ,2019-20,IK Oskarshamn,0.525206483276349
Sebastian Karlsson ,2019-20,Linköping HC,0.1985959486900144
Mattias Bäckman ,2019-20,Linköping HC,0.41863248103331885
Oscar Sundh ,2019-20,HV71,0.45296662340826727
Petter Emanuelsson ,2019-20,Luleå HF,0.5462877747509647
Daniel Olsson Trkulja ,2019-20,Leksands IF,0.22259103392968632
Jacob Blomqvist ,2019-20,Brynäs IF,0.4023535822002556
Ludvig Rensfeldt ,2019-20,Örebro HK,0.625429913190813
Pontus Netterberg ,2019-20,IK Oskarshamn,0.35071437562485896
Eddie Larsson ,2019-20,Linköping HC,0.26184764492372137
Daniel Gunnarsson ,2019-20,Leksands IF,0.31645864589359585
Ted Brithén ,2019-20,Rögle BK,0.5795648253660259
Max Friberg ,2019-20,Frölunda HC,0.3788715263251559
Petter Granberg ,2019-20,Skellefteå AIK,0.15728312561418645
Olle Alsing ,2019-20,Djurgårdens IF,0.23318038871952004
Linus Sandin ,2019-20,HV71,0.47808337026205544
Oskar Lang ,2019-20,Leksands IF,0.32121178337344863
Eric Norin ,2019-20,Brynäs IF,0.26779590605959824
Joe Whitney ,2019-20,Linköping HC,0.5292995286718702
Einar Emanuelsson ,2019-20,Luleå HF,0.43509129871740626
Joel Mustonen ,2019-20,Frölunda HC,0.2965285838239406
Matias Lassen ,2019-20,Malmö Redhawks,0.2904683180346125
Axel Wemmenborn ,2019-20,Malmö Redhawks,0.2779397743660047
Jordan Boucher ,2019-20,Örebro HK,0.3730385494585592
Frederik Storm ,2019-20,Malmö Redhawks,0.48680431352441
Nichlas Hardt ,2019-20,IK Oskarshamn,0.30498321667082356
