time,event,team,players,on_ice,game_id,home,away
60:00,GK Out,HV 71,"1.  Liv,  Stefan",,389622,HV 71,Frölunda HC
59:49,2 min,HV 71,"7.  Gustafsson,  Per",Roughing  (59:49 - 61:49),389622,HV 71,Frölunda HC
59:49,2 min,Frölunda HC,"24.  Andersson,  Niklas",Roughing  (59:49 - 60:00),389622,HV 71,Frölunda HC
59:49,2 min,Frölunda HC,"24.  Andersson,  Niklas",Slashing  (59:49 - 61:49),389622,HV 71,Frölunda HC
58:41,2 min,HV 71,"39.  Voutilainen,  Jukka",Crosschecking  (58:41 - 60:00),389622,HV 71,Frölunda HC
58:33,GK Out,Frölunda HC,"1.  Gistedt,  Joel",,389622,HV 71,Frölunda HC
55:44,6-5 (EQ),Frölunda HC,"44.  Ahnelöv,  Jonas  (1)","Pos. Part.: 1  , 23  , 24  , 30  , 44  , 71  Neg. Part.: 1  , 16  , 17  , 19  , 21  , 22",389622,HV 71,Frölunda HC
53:17,TO,Frölunda HC,Timeout,,389622,HV 71,Frölunda HC
53:17,6-4 (PP1),HV 71,"50.  Jämtin,  Andreas  (1)  9.  Niskanen,  Mika","Pos. Part.: 1  , 5  , 9  , 33  , 50  , 77  Neg. Part.: 1  , 16  , 23  , 26  , 28",389622,HV 71,Frölunda HC
51:46,2 min,Frölunda HC,"44.  Ahnelöv,  Jonas",Charging  (51:46 - 53:17),389622,HV 71,Frölunda HC
50:22,2 min,Frölunda HC,"22.  Esbjörs,  Jonas",Hooking  (50:22 - 52:22),389622,HV 71,Frölunda HC
49:55,5-4 (EQ),HV 71,"10.  Thörnberg,  Martin  (1)  76.  Davidsson,  Johan","Pos. Part.: 1  , 7  , 8  , 10  , 39  , 76  Neg. Part.: 1  , 17  , 18  , 23  , 28  , 44",389622,HV 71,Frölunda HC
49:20,4-4 (EQ),HV 71,"9.  Niskanen,  Mika  (1)  5.  Luoma,  Mikko","Pos. Part.: 1  , 5  , 9  , 16  , 17  , 19  Neg. Part.: 1  , 7  , 11  , 12  , 16  , 26",389622,HV 71,Frölunda HC
