date,game,score,periodscore,spectators,schedule_id,game_id,league,season,home,away,score_home,score_away,p1score,p2score,p3score,p4score,p5score,p1score_home,p1score_away,p2score_home,p2score_away,p3score_home,p3score_away,p4score_home,p4score_away,p5score_home,p5score_away,result,result_p1,result_p2,result_p3,result_p4,result_p5
2019-09-14,Frölunda HC  - Brynäs IF,2 - 5,"0-2, 0-3, 2-0",12044,10371,441805,shl,2019/20,Frölunda HC,Brynäs IF,2,5,0-2, 0-3, 2-0,,,0,2,0,3,2,0,,,,,away,away,away,home,,
2019-09-14,Skellefteå AIK  - IK Oskarshamn,5 - 4,"0-1, 3-3, 1-0, 1-0",5137,10371,441808,shl,2019/20,Skellefteå AIK,IK Oskarshamn,5,4,0-1, 3-3, 1-0, 1-0,,0,1,3,3,1,0,1.0,0.0,,,draw,away,draw,home,home,
2019-09-14,Leksands IF  - IF Malmö Redhawks,5 - 2,"1-2, 0-0, 4-0",7650,10371,441809,shl,2019/20,Leksands IF,IF Malmö Redhawks,5,2,1-2, 0-0, 4-0,,,1,2,0,0,4,0,,,,,home,away,draw,home,,
2019-09-14,Djurgårdens IF  - Linköping HC,4 - 2,"0-1, 3-1, 1-0",7018,10371,441803,shl,2019/20,Djurgårdens IF,Linköping HC,4,2,0-1, 3-1, 1-0,,,0,1,3,1,1,0,,,,,home,away,home,home,,
2019-09-14,Färjestad BK  - Örebro HK,4 - 6,"2-2, 1-2, 1-2",8250,10371,441804,shl,2019/20,Färjestad BK,Örebro HK,4,6,2-2, 1-2, 1-2,,,2,2,1,2,1,2,,,,,away,draw,away,away,,
2019-09-14,Luleå HF  - Växjö Lakers HC,3 - 1,"1-0, 2-0, 0-1",6150,10371,441806,shl,2019/20,Luleå HF,Växjö Lakers HC,3,1,1-0, 2-0, 0-1,,,1,0,2,0,0,1,,,,,home,home,home,away,,
2019-09-14,Rögle BK  - HV 71,4 - 0,"4-0, 0-0, 0-0",5018,10371,441807,shl,2019/20,Rögle BK,HV 71,4,0,4-0, 0-0, 0-0,,,4,0,0,0,0,0,,,,,home,home,draw,draw,,
2019-09-17,HV 71  - Frölunda HC,3 - 2,"1-1, 1-0, 1-1",6532,10371,441810,shl,2019/20,HV 71,Frölunda HC,3,2,1-1, 1-0, 1-1,,,1,1,1,0,1,1,,,,,home,draw,home,draw,,
2019-09-17,Linköping HC  - Brynäs IF,4 - 3,"0-2, 1-0, 2-1, 1-0",6625,10371,441811,shl,2019/20,Linköping HC,Brynäs IF,4,3,0-2, 1-0, 2-1, 1-0,,0,2,1,0,2,1,1.0,0.0,,,draw,away,home,home,home,
2019-09-17,IF Malmö Redhawks  - Rögle BK,3 - 4,"1-2, 0-1, 2-1",9559,10371,441812,shl,2019/20,IF Malmö Redhawks,Rögle BK,3,4,1-2, 0-1, 2-1,,,1,2,0,1,2,1,,,,,away,away,away,home,,
2019-09-17,IK Oskarshamn  - Leksands IF,4 - 1,"0-1, 1-0, 3-0",3275,10371,441813,shl,2019/20,IK Oskarshamn,Leksands IF,4,1,0-1, 1-0, 3-0,,,0,1,1,0,3,0,,,,,home,away,home,home,,
2019-09-17,Örebro HK  - Luleå HF,2 - 1,"0-0, 1-1, 1-0",5500,10371,441814,shl,2019/20,Örebro HK,Luleå HF,2,1,0-0, 1-1, 1-0,,,0,0,1,1,1,0,,,,,home,draw,draw,home,,
2019-09-17,Skellefteå AIK  - Färjestad BK,3 - 1,"1-0, 2-1, 0-0",3566,10371,441815,shl,2019/20,Skellefteå AIK,Färjestad BK,3,1,1-0, 2-1, 0-0,,,1,0,2,1,0,0,,,,,home,home,home,draw,,
2019-09-17,Växjö Lakers HC  - Djurgårdens IF,3 - 5,"3-3, 0-2, 0-0",4267,10371,441816,shl,2019/20,Växjö Lakers HC,Djurgårdens IF,3,5,3-3, 0-2, 0-0,,,3,3,0,2,0,0,,,,,away,draw,away,draw,,
2019-09-19,Djurgårdens IF  - Örebro HK,4 - 2,"2-1, 0-0, 2-1",4537,10371,441818,shl,2019/20,Djurgårdens IF,Örebro HK,4,2,2-1, 0-0, 2-1,,,2,1,0,0,2,1,,,,,home,home,draw,home,,
2019-09-19,Färjestad BK  - Växjö Lakers HC,4 - 2,"0-2, 2-0, 2-0",5467,10371,441819,shl,2019/20,Färjestad BK,Växjö Lakers HC,4,2,0-2, 2-0, 2-0,,,0,2,2,0,2,0,,,,,home,away,home,home,,
2019-09-19,Frölunda HC  - Linköping HC,4 - 0,"2-0, 1-0, 1-0",8549,10371,441820,shl,2019/20,Frölunda HC,Linköping HC,4,0,2-0, 1-0, 1-0,,,2,0,1,0,1,0,,,,,home,home,home,home,,
2019-09-19,Luleå HF  - HV 71,3 - 2,"0-2, 1-0, 1-0, 1-0",5818,10371,441821,shl,2019/20,Luleå HF,HV 71,3,2,0-2, 1-0, 1-0, 1-0,,0,2,1,0,1,0,1.0,0.0,,,draw,away,home,home,home,
2019-09-19,Rögle BK  - IK Oskarshamn,0 - 1,"0-0, 0-0, 0-1",3814,10371,441822,shl,2019/20,Rögle BK,IK Oskarshamn,0,1,0-0, 0-0, 0-1,,,0,0,0,0,0,1,,,,,away,draw,draw,away,,
2019-09-19,Leksands IF  - Skellefteå AIK,3 - 2,"0-0, 1-2, 2-0",4303,10371,441823,shl,2019/20,Leksands IF,Skellefteå AIK,3,2,0-0, 1-2, 2-0,,,0,0,1,2,2,0,,,,,home,draw,away,home,,
2019-09-21,Brynäs IF  - Färjestad BK,1 - 2,"0-1, 1-0, 0-1",7561,10371,441824,shl,2019/20,Brynäs IF,Färjestad BK,1,2,0-1, 1-0, 0-1,,,0,1,1,0,0,1,,,,,away,away,home,away,,
