date,game,score,league,season,game_id,home,away,score_home,score_away,result,game_id_home,team_x,h_a_home,win_R5_home,draw_R5_home,lost_R5_home,H2H_W_home,H2H_D_home,H2H_L_home,scored_avg_R5_home,conceded_avg_R5_home,points_cum_prev_avg_home,points_cum_h_a_prev_avg_home,game_id_away,team_y,h_a_away,win_R5_away,draw_R5_away,lost_R5_away,H2H_W_away,H2H_D_away,H2H_L_away,scored_avg_R5_away,conceded_avg_R5_away,points_cum_prev_avg_away,points_cum_h_a_prev_avg_away
2020-09-19,Leksands IF  - Skellefteå AIK,4 - 5,shl,2020/21,490388.0,Leksands IF,Skellefteå AIK,4.0,5.0,draw,490388.0,Leksands IF,home,0.0,0.0,0.0,0.1111111111111111,0.05555555555555555,0.8333333333333334,0.0,0.0,,,490388.0,Skellefteå AIK,away,0.0,0.0,0.0,0.8333333333333334,0.05555555555555555,0.1111111111111111,0.0,0.0,,
2020-09-19,Frölunda HC  - HV 71,3 - 0,shl,2020/21,490391.0,Frölunda HC,HV 71,3.0,0.0,home,490391.0,Frölunda HC,home,0.0,0.0,0.0,0.31666666666666665,0.2833333333333333,0.4,0.0,0.0,,,490391.0,HV 71,away,0.0,0.0,0.0,0.4,0.2833333333333333,0.31666666666666665,0.0,0.0,,
2020-09-19,Luleå HF  - Färjestad BK,4 - 2,shl,2020/21,490392.0,Luleå HF,Färjestad BK,4.0,2.0,home,490392.0,Luleå HF,home,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.5,0.0,0.0,,,490392.0,Färjestad BK,away,0.0,0.0,0.0,0.5,0.16666666666666666,0.3333333333333333,0.0,0.0,,
2020-09-19,Rögle BK  - Linköping HC,6 - 4,shl,2020/21,490394.0,Rögle BK,Linköping HC,6.0,4.0,home,490394.0,Rögle BK,home,0.0,0.0,0.0,0.2571428571428571,0.2571428571428571,0.4857142857142857,0.0,0.0,,,490394.0,Linköping HC,away,0.0,0.0,0.0,0.4857142857142857,0.2571428571428571,0.2571428571428571,0.0,0.0,,
2020-09-22,IF Malmö Redhawks  - Leksands IF,3 - 5,shl,2020/21,490412.0,IF Malmö Redhawks,Leksands IF,3.0,5.0,away,490412.0,IF Malmö Redhawks,home,0.0,0.0,0.0,0.36666666666666653,0.2333333333333333,0.4,0.0,0.0,,,490412.0,Leksands IF,away,0.0,1.0,0.0,0.4,0.2333333333333333,0.36666666666666653,4.0,5.0,1.0,
2020-09-24,Örebro HK  - HV 71,5 - 4,shl,2020/21,490404.0,Örebro HK,HV 71,5.0,4.0,home,490404.0,Örebro HK,home,0.0,0.0,0.0,0.4,0.1,0.5,0.0,0.0,,,490404.0,HV 71,away,0.0,0.0,1.0,0.5,0.1,0.4,0.0,3.0,0.0,0.0
2020-09-24,Brynäs IF  - IK Oskarshamn,2 - 5,shl,2020/21,490405.0,Brynäs IF,IK Oskarshamn,2.0,5.0,away,490405.0,Brynäs IF,home,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0,,,490405.0,IK Oskarshamn,away,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0,,
2020-09-24,Växjö Lakers HC  - Färjestad BK,2 - 3,shl,2020/21,490409.0,Växjö Lakers HC,Färjestad BK,2.0,3.0,draw,490409.0,Växjö Lakers HC,home,0.0,0.0,0.0,0.375,0.25,0.375,0.0,0.0,,,490409.0,Färjestad BK,away,0.0,0.0,1.0,0.375,0.25,0.375,2.0,4.0,0.0,0.0
2020-09-26,Linköping HC  - Växjö Lakers HC,1 - 2,shl,2020/21,490413.0,Linköping HC,Växjö Lakers HC,1.0,2.0,draw,490413.0,Linköping HC,home,0.0,0.0,1.0,0.275,0.25,0.475,4.0,6.0,0.0,,490413.0,Växjö Lakers HC,away,0.0,1.0,0.0,0.475,0.25,0.275,2.0,3.0,1.0,
2020-09-26,IK Oskarshamn  - Luleå HF,2 - 5,shl,2020/21,490414.0,IK Oskarshamn,Luleå HF,2.0,5.0,away,490414.0,IK Oskarshamn,home,1.0,0.0,0.0,0.25,0.25,0.5,5.0,2.0,3.0,,490414.0,Luleå HF,away,1.0,0.0,0.0,0.5,0.25,0.25,4.0,2.0,3.0,
2020-09-26,Skellefteå AIK  - Örebro HK,1 - 4,shl,2020/21,490415.0,Skellefteå AIK,Örebro HK,1.0,4.0,away,490415.0,Skellefteå AIK,home,0.0,1.0,0.0,0.43333333333333335,0.3,0.26666666666666666,5.0,4.0,2.0,,490415.0,Örebro HK,away,1.0,0.0,0.0,0.26666666666666666,0.3,0.43333333333333335,5.0,4.0,3.0,
2020-09-26,Färjestad BK  - Brynäs IF,3 - 5,shl,2020/21,490416.0,Färjestad BK,Brynäs IF,3.0,5.0,away,490416.0,Färjestad BK,home,0.0,0.5,0.5,0.55,0.2333333333333333,0.21666666666666667,2.5,3.0,1.0,,490416.0,Brynäs IF,away,0.0,0.0,1.0,0.21666666666666667,0.2333333333333333,0.55,2.0,5.0,0.0,
2020-09-26,HV 71  - Rögle BK,2 - 3,shl,2020/21,490417.0,HV 71,Rögle BK,2.0,3.0,away,490417.0,HV 71,home,0.0,0.0,1.0,0.6,0.14285714285714285,0.2571428571428571,2.0,4.0,0.0,,490417.0,Rögle BK,away,1.0,0.0,0.0,0.2571428571428571,0.14285714285714285,0.6,6.0,4.0,3.0,
2020-09-27,Djurgårdens IF  - Frölunda HC,0 - 2,shl,2020/21,490418.0,Djurgårdens IF,Frölunda HC,0.0,2.0,away,490418.0,Djurgårdens IF,home,0.0,0.0,0.0,0.34,0.26,0.4,0.0,0.0,,,490418.0,Frölunda HC,away,1.0,0.0,0.0,0.4,0.26,0.34,3.0,0.0,3.0,
2020-10-01,Leksands IF  - Örebro HK,3 - 5,shl,2020/21,490420.0,Leksands IF,Örebro HK,3.0,5.0,away,490420.0,Leksands IF,home,0.5,0.5,0.0,0.4411764705882353,0.14705882352941174,0.4117647058823529,4.5,4.0,2.0,1.0,490420.0,Örebro HK,away,1.0,0.0,0.0,0.4117647058823529,0.14705882352941174,0.4411764705882353,4.5,2.5,3.0,3.0
2020-10-01,Luleå HF  - HV 71,5 - 4,shl,2020/21,490424.0,Luleå HF,HV 71,5.0,4.0,home,490424.0,Luleå HF,home,1.0,0.0,0.0,0.3333333333333333,0.25,0.4166666666666667,4.5,2.0,3.0,3.0,490424.0,HV 71,away,0.0,0.0,1.0,0.4166666666666667,0.25,0.3333333333333333,2.0,3.6666666666666665,0.0,0.0
2020-10-01,Skellefteå AIK  - Frölunda HC,3 - 1,shl,2020/21,490425.0,Skellefteå AIK,Frölunda HC,3.0,1.0,home,490425.0,Skellefteå AIK,home,0.0,0.5,0.5,0.36666666666666653,0.13333333333333333,0.5,3.0,4.0,1.0,0.0,490425.0,Frölunda HC,away,1.0,0.0,0.0,0.5,0.13333333333333333,0.36666666666666653,2.5,0.0,3.0,3.0
2020-10-01,Djurgårdens IF  - IF Malmö Redhawks,3 - 0,shl,2020/21,490426.0,Djurgårdens IF,IF Malmö Redhawks,3.0,0.0,home,490426.0,Djurgårdens IF,home,0.0,0.0,1.0,0.3928571428571429,0.3928571428571429,0.21428571428571427,0.0,2.0,0.0,0.0,490426.0,IF Malmö Redhawks,away,0.0,0.0,1.0,0.21428571428571427,0.3928571428571429,0.3928571428571429,3.0,5.0,0.0,
2020-10-01,Växjö Lakers HC  - Rögle BK,2 - 1,shl,2020/21,490427.0,Växjö Lakers HC,Rögle BK,2.0,1.0,home,490427.0,Växjö Lakers HC,home,0.0,1.0,0.0,0.59375,0.09375,0.3125,2.0,2.0,1.5,1.0,490427.0,Rögle BK,away,1.0,0.0,0.0,0.3125,0.09375,0.59375,4.5,3.0,3.0,3.0
2020-10-01,Linköping HC  - Brynäs IF,5 - 4,shl,2020/21,490428.0,Linköping HC,Brynäs IF,5.0,4.0,draw,490428.0,Linköping HC,home,0.0,0.5,0.5,0.45,0.26666666666666666,0.2833333333333333,2.5,4.0,0.5,1.0,490428.0,Brynäs IF,away,0.5,0.0,0.5,0.2833333333333333,0.26666666666666666,0.45,3.5,4.0,1.5,3.0
2020-10-01,IK Oskarshamn  - Färjestad BK,4 - 2,shl,2020/21,490429.0,IK Oskarshamn,Färjestad BK,4.0,2.0,home,490429.0,IK Oskarshamn,home,0.5,0.0,0.5,0.25,0.25,0.5,3.5,3.5,1.5,0.0,490429.0,Färjestad BK,away,0.0,0.3333333333333333,0.6666666666666666,0.5,0.25,0.25,2.6666666666666665,3.6666666666666665,0.6666666666666666,1.0
2020-10-03,Luleå HF  - Växjö Lakers HC,2 - 1,shl,2020/21,490431.0,Luleå HF,Växjö Lakers HC,2.0,1.0,home,490431.0,Luleå HF,home,1.0,0.0,0.0,0.575,0.15,0.275,4.666666666666667,2.6666666666666665,3.0,3.0,490431.0,Växjö Lakers HC,away,0.3333333333333333,0.6666666666666666,0.0,0.275,0.15,0.575,2.0,1.6666666666666667,2.0,2.0
2020-10-03,Brynäs IF  - Skellefteå AIK,3 - 2,shl,2020/21,490432.0,Brynäs IF,Skellefteå AIK,3.0,2.0,home,490432.0,Brynäs IF,home,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.18333333333333326,0.4833333333333333,3.6666666666666665,4.333333333333333,1.3333333333333333,0.0,490432.0,Skellefteå AIK,away,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4833333333333333,0.18333333333333326,0.3333333333333333,3.0,3.0,1.6666666666666667,2.0
2020-10-03,Rögle BK  - Djurgårdens IF,5 - 3,shl,2020/21,490433.0,Rögle BK,Djurgårdens IF,5.0,3.0,home,490433.0,Rögle BK,home,0.6666666666666666,0.0,0.3333333333333333,0.2352941176470588,0.2352941176470588,0.5294117647058824,3.333333333333333,2.6666666666666665,2.0,3.0,490433.0,Djurgårdens IF,away,0.5,0.0,0.5,0.5294117647058824,0.2352941176470588,0.2352941176470588,1.5,1.0,1.5,
2020-10-03,Färjestad BK  - IF Malmö Redhawks,2 - 4,shl,2020/21,490434.0,Färjestad BK,IF Malmö Redhawks,2.0,4.0,away,490434.0,Färjestad BK,home,0.0,0.25,0.75,0.45,0.25,0.3,2.5,3.75,0.5,0.0,490434.0,IF Malmö Redhawks,away,0.0,0.0,1.0,0.3,0.25,0.45,1.5,4.0,0.0,0.0
2020-10-03,HV 71  - IK Oskarshamn,6 - 3,shl,2020/21,490435.0,HV 71,IK Oskarshamn,6.0,3.0,home,490435.0,HV 71,home,0.0,0.0,1.0,0.75,0.25,0.0,2.5,4.0,0.0,0.0,490435.0,IK Oskarshamn,away,0.6666666666666666,0.0,0.3333333333333333,0.0,0.25,0.75,3.6666666666666665,3.0,2.0,3.0
2020-10-03,Örebro HK  - Linköping HC,6 - 4,shl,2020/21,490436.0,Örebro HK,Linköping HC,6.0,4.0,home,490436.0,Örebro HK,home,1.0,0.0,0.0,0.4,0.4,0.2,4.666666666666667,2.6666666666666665,3.0,3.0,490436.0,Linköping HC,away,0.0,0.6666666666666666,0.3333333333333333,0.2,0.4,0.4,3.333333333333333,4.0,1.0,0.0
2020-10-03,Frölunda HC  - Leksands IF,4 - 2,shl,2020/21,490437.0,Frölunda HC,Leksands IF,4.0,2.0,home,490437.0,Frölunda HC,home,0.6666666666666666,0.0,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.3333333333333333,2.0,1.0,2.0,3.0,490437.0,Leksands IF,away,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.4444444444444444,4.0,4.333333333333333,1.3333333333333333,3.0
2020-10-08,Skellefteå AIK  - HV 71,4 - 2,shl,2020/21,490438.0,Skellefteå AIK,HV 71,4.0,2.0,home,490438.0,Skellefteå AIK,home,0.25,0.25,0.5,0.4666666666666667,0.15,0.38333333333333336,2.75,3.0,1.25,1.5,490438.0,HV 71,away,0.2,0.0,0.8,0.38333333333333336,0.15,0.4666666666666667,3.2,3.8,0.6,0.0
2020-10-08,Leksands IF  - Växjö Lakers HC,0 - 2,shl,2020/21,490439.0,Leksands IF,Växjö Lakers HC,0.0,2.0,away,490439.0,Leksands IF,home,0.25,0.25,0.5,0.5,0.09375,0.40625,3.5,4.25,1.0,0.5,490439.0,Växjö Lakers HC,away,0.25,0.5,0.25,0.40625,0.09375,0.5,1.75,1.75,1.5,1.0
2020-10-08,Djurgårdens IF  - Luleå HF,3 - 2,shl,2020/21,490440.0,Djurgårdens IF,Luleå HF,3.0,2.0,draw,490440.0,Djurgårdens IF,home,0.3333333333333333,0.0,0.6666666666666666,0.32,0.3,0.38,2.0,2.333333333333333,1.0,1.5,490440.0,Luleå HF,away,1.0,0.0,0.0,0.38,0.3,0.32,4.0,2.25,3.0,3.0
2020-10-08,Färjestad BK  - Linköping HC,5 - 4,shl,2020/21,490441.0,Färjestad BK,Linköping HC,5.0,4.0,home,490441.0,Färjestad BK,home,0.0,0.2,0.8,0.36666666666666653,0.26666666666666666,0.36666666666666653,2.4,3.8,0.4,0.0,490441.0,Linköping HC,away,0.0,0.5,0.5,0.36666666666666653,0.26666666666666666,0.36666666666666653,3.5,4.5,0.75,0.0
2020-10-08,IK Oskarshamn  - Rögle BK,2 - 3,shl,2020/21,490442.0,IK Oskarshamn,Rögle BK,2.0,3.0,away,490442.0,IK Oskarshamn,home,0.5,0.0,0.5,0.3478260869565217,0.2608695652173913,0.39130434782608703,3.5,3.75,1.5,1.5,490442.0,Rögle BK,away,0.75,0.0,0.25,0.39130434782608703,0.2608695652173913,0.3478260869565217,3.75,2.75,2.25,1.5
2020-10-08,IF Malmö Redhawks  - Örebro HK,2 - 1,shl,2020/21,490443.0,IF Malmö Redhawks,Örebro HK,2.0,1.0,home,490443.0,IF Malmö Redhawks,home,0.3333333333333333,0.0,0.6666666666666666,0.4166666666666667,0.3055555555555556,0.2777777777777778,2.333333333333333,3.333333333333333,1.0,0.0,490443.0,Örebro HK,away,1.0,0.0,0.0,0.2777777777777778,0.3055555555555556,0.4166666666666667,5.0,3.0,3.0,3.0
2020-10-08,Frölunda HC  - Brynäs IF,3 - 0,shl,2020/21,490444.0,Frölunda HC,Brynäs IF,3.0,0.0,home,490444.0,Frölunda HC,home,0.75,0.0,0.25,0.5333333333333333,0.15,0.31666666666666665,2.5,1.25,2.25,3.0,490444.0,Brynäs IF,away,0.5,0.25,0.25,0.31666666666666665,0.15,0.5333333333333333,3.5,3.75,1.75,2.0
2020-10-10,Luleå HF  - Brynäs IF,2 - 3,shl,2020/21,490445.0,Luleå HF,Brynäs IF,2.0,3.0,draw,490445.0,Luleå HF,home,0.8,0.2,0.0,0.26666666666666666,0.3,0.43333333333333335,3.6,2.4,2.6,3.0,490445.0,Brynäs IF,away,0.4,0.2,0.4,0.43333333333333335,0.3,0.26666666666666666,2.8,3.6,1.4,1.3333333333333333
2020-10-10,Djurgårdens IF  - IK Oskarshamn,3 - 4,shl,2020/21,490446.0,Djurgårdens IF,IK Oskarshamn,3.0,4.0,away,490446.0,Djurgårdens IF,home,0.25,0.25,0.5,0.5833333333333334,0.16666666666666666,0.25,2.25,2.25,1.25,1.6666666666666667,490446.0,IK Oskarshamn,away,0.4,0.0,0.6,0.25,0.16666666666666666,0.5833333333333334,3.2,3.6,1.2,1.5
2020-10-10,Rögle BK  - Örebro HK,3 - 1,shl,2020/21,490447.0,Rögle BK,Örebro HK,3.0,1.0,home,490447.0,Rögle BK,home,0.8,0.0,0.2,0.6071428571428571,0.10714285714285714,0.2857142857142857,3.6,2.6,2.4,3.0,490447.0,Örebro HK,away,0.8,0.0,0.2,0.2857142857142857,0.10714285714285714,0.6071428571428571,4.2,2.8,2.4,2.0
2020-10-10,Växjö Lakers HC  - Skellefteå AIK,1 - 3,shl,2020/21,490448.0,Växjö Lakers HC,Skellefteå AIK,1.0,3.0,away,490448.0,Växjö Lakers HC,home,0.4,0.4,0.2,0.35,0.3,0.35,1.8,1.4,1.8,2.0,490448.0,Skellefteå AIK,away,0.4,0.2,0.4,0.35,0.3,0.35,3.0,2.8,1.6,1.0
2020-10-10,Linköping HC  - Leksands IF,1 - 4,shl,2020/21,490449.0,Linköping HC,Leksands IF,1.0,4.0,away,490449.0,Linköping HC,home,0.0,0.4,0.6,0.7222222222222222,0.16666666666666666,0.1111111111111111,3.6,4.6,0.6,1.5,490449.0,Leksands IF,away,0.2,0.2,0.6,0.1111111111111111,0.16666666666666666,0.7222222222222222,2.8,3.8,0.8,1.5
2020-10-10,HV 71  - Färjestad BK,2 - 3,shl,2020/21,490450.0,HV 71,Färjestad BK,2.0,3.0,draw,490450.0,HV 71,home,0.2,0.0,0.8,0.5,0.15,0.35,3.6,4.0,0.5,1.5,490450.0,Färjestad BK,away,0.2,0.2,0.6,0.35,0.15,0.5,3.0,3.8,0.8333333333333334,0.6666666666666666
2020-10-12,Frölunda HC  - Skellefteå AIK,,shl,2020/21,,Frölunda HC,Skellefteå AIK,,,,,Frölunda HC,home,0.8,0.0,0.2,0.4918032786885246,0.13114754098360654,0.3770491803278688,2.6,1.0,2.4,3.0,,Skellefteå AIK,away,0.6,0.0,0.4,0.3770491803278688,0.13114754098360654,0.4918032786885246,2.6,2.2,1.8333333333333333,1.6666666666666667
