date,game,score,periodscore,spectators,schedule_id,game_id,league,season,team,opponent,score_team,score_opponent,p1score,p2score,p3score,p4score,p5score,p1score_team,p1score_opponent,p2score_team,p2score_opponent,p3score_team,p3score_opponent,p4score_team,p4score_opponent,p5score_team,p5score_opponent,result,result_p1,result_p2,result_p3,result_p4,result_p5,h_a,result_L1,result_L2,result_L3,result_L4,result_L5,win,draw,lost,win_R5,draw_R5,lost_R5,matchday,matchday_h_a,scored_avg_R5,conceded_avg_R5,scored_cum,scored_cum_prev,scored_cum_prev_avg,conceded_cum,conceded_cum_prev,conceded_cum_prev_avg,H2H_W,H2H_D,H2H_L,points,points_cum,points_cum_prev,points_cum_prev_avg,points_cum_h_a,points_cum_h_a_prev,points_cum_h_a_prev_avg
2020-10-02,AIK  - Västerviks IK,2 - 4,"0-1, 1-2, 1-1",49.0,11449,,allsvenskan,2020/21,AIK,Västerviks IK,2.0,4.0,0-1, 1-2, 1-1,,,0.0,1.0,1.0,2.0,1.0,1.0,,,,,lost,lost,lost,draw,,,home,,,,,,0,0,1,0.0,0.0,0.0,1,1,0.0,0.0,2.0,0.0,,4.0,0.0,,0.0,0.0,0.0,0,0,0,,0,0,
2020-10-04,IF Björklöven  - AIK,5 - 2,"0-0, 2-0, 3-2",50.0,11449,,allsvenskan,2020/21,AIK,IF Björklöven,2.0,5.0,0-0, 2-0, 3-2,,,0.0,0.0,0.0,2.0,2.0,3.0,,,,,lost,draw,lost,lost,,,away,lost,,,,,0,0,1,0.0,0.0,1.0,2,1,2.0,4.0,4.0,2.0,2.0,9.0,4.0,4.0,0.0,0.0,0.0,0,0,0,0.0,0,0,
2020-10-07,AIK  - Väsby IK HK,4 - 1,"2-0, 1-1, 1-0",49.0,11449,,allsvenskan,2020/21,AIK,Väsby IK HK,4.0,1.0,2-0, 1-1, 1-0,,,2.0,0.0,1.0,1.0,1.0,0.0,,,,,win,win,draw,win,,,home,lost,lost,,,,1,0,0,0.0,0.0,1.0,3,2,2.0,4.5,8.0,4.0,2.0,10.0,9.0,4.5,0.0,0.0,0.0,3,3,0,0.0,3,0,0.0
2020-10-09,Väsby IK HK  - AIK,3 - 1,"0-0, 0-1, 3-0",50.0,11449,,allsvenskan,2020/21,AIK,Väsby IK HK,1.0,3.0,0-0, 0-1, 3-0,,,0.0,0.0,1.0,0.0,0.0,3.0,,,,,lost,draw,win,lost,,,away,win,lost,lost,,,0,0,1,0.3333333333333333,0.0,0.6666666666666666,4,2,2.6666666666666665,3.3333333333333335,9.0,8.0,2.6666666666666665,13.0,10.0,3.3333333333333335,1.0,0.0,0.0,0,3,3,1.0,0,0,0.0
2020-10-11,Tingsryds AIF  - AIK,,,,11449,,allsvenskan,2020/21,AIK,Tingsryds AIF,,,,,,,,,,,,,,,,,,,,,,,,away,lost,win,lost,lost,,0,0,0,0.25,0.0,0.75,5,3,2.25,3.25,,9.0,2.25,,13.0,3.25,0.0,0.0,0.0,0,3,3,0.75,0,0,0.0
2020-10-21,AIK  - Tingsryds AIF,,,,11449,,allsvenskan,2020/21,AIK,Tingsryds AIF,,,,,,,,,,,,,,,,,,,,,,,,home,,lost,win,lost,lost,0,0,0,0.2,0.0,0.6,6,3,2.25,3.25,,,,,,,0.0,0.0,0.0,0,3,3,0.6,3,3,1.5
2020-10-23,Almtuna IS  - AIK,,,,11449,,allsvenskan,2020/21,AIK,Almtuna IS,,,,,,,,,,,,,,,,,,,,,,,,away,,,lost,win,lost,0,0,0,0.2,0.0,0.4,7,4,2.3333333333333335,3.0,,,,,,,0.0,0.0,0.0,0,3,3,0.5,0,0,0.0
2020-10-26,AIK  - Timrå IK,,,,11449,,allsvenskan,2020/21,AIK,Timrå IK,,,,,,,,,,,,,,,,,,,,,,,,home,,,,lost,win,0,0,0,0.2,0.0,0.2,8,4,2.5,2.0,,,,,,,0.0,0.0,0.0,0,3,3,0.42857142857142855,3,3,1.0
2020-10-28,BIK Karlskoga  - AIK,,,,11449,,allsvenskan,2020/21,AIK,BIK Karlskoga,,,,,,,,,,,,,,,,,,,,,,,,away,,,,,lost,0,0,0,0.0,0.0,0.2,9,5,1.0,3.0,,,,,,,0.0,0.0,0.0,0,3,3,0.375,0,0,0.0
2020-10-30,AIK  - Kristianstads IK,,,,11449,,allsvenskan,2020/21,AIK,Kristianstads IK,,,,,,,,,,,,,,,,,,,,,,,,home,,,,,,0,0,0,0.0,0.0,0.0,10,5,,,,,,,,,0.0,0.0,0.0,0,3,3,0.3333333333333333,3,3,0.75
2020-11-02,Västerviks IK  - AIK,,,,11449,,allsvenskan,2020/21,AIK,Västerviks IK,,,,,,,,,,,,,,,,,,,,,,,,away,,,,,,0,0,0,0.0,0.0,0.0,11,6,,,,,,,,,0.0,0.0,1.0,0,3,3,0.3,0,0,0.0
2020-11-04,Kristianstads IK  - AIK,,,,11449,,allsvenskan,2020/21,AIK,Kristianstads IK,,,,,,,,,,,,,,,,,,,,,,,,away,,,,,,0,0,0,0.0,0.0,0.0,12,7,,,,,,,,,0.0,0.0,0.0,0,3,3,0.2727272727272727,0,0,0.0
