season,coach,team,change_date
2012/13,Anders Forsberg,Skellefteå AIK,04/02/2013
2012/13,Dan Tangnes,Rögle BK,24/10/2012
2012/13,Per-Erik Johnsson,AIK,03/12/2012
2012/13,Janne Karlsson,Växjö Lakers HC,14/10/2012
2013/14,Bäcklin / Franzen,AIK,04/03/2014
2013/14,Ulf Dahlen,HV71,15/12/2013
2013/14,Andreas Johansson,Färjestad BK,05/12/2013
2013/14,Patrik Ross,Örebro HK,21/11/2013
2014/15,Anders Forsberg,MODO Hockey,04/01/2015
2014/15,Tommy Jonsson,Brynäs IF,19/01/2015
2014/15,Andreas Appelgren,Leksands IF,27/02/2015
2015/16,Larry Huras,MODO Hockey,03/11/2015
2016/17,Johan Tornberg,Örebro HK,05/01/2017
2016/17,Pelle Hånberg,Karlskrona HK,05/02/2017
2016/17,Stefan Nilsson,Luleå HF,14/02/2017
2017/18,Roger Melin,Brynäs IF,13/10/2017
2017/18,Anders Eldebrink,Rögle BK,05/11/2017
2017/18,Mattias Karlin,Mora IK,14/01/2018
2018/19,Niclas Sundblad,Örebro HK,04/12/2018
2018/19,Johan Lindbom,HV71,25/11/2018
2018/19,Tommy Sjödin,Brynäs IF,05/11/2018
2019/20,Roger Melin,Leksands IF,03/02/2020
2019/20,Håkan Åhlund,IK Oskarshamn,31/01/2020
2019/20,Magnus Sundqvist,Brynäs IF,06/01/2020
2013/14,Johan Strömwall,Södertälje SK,14/10/2013
2013/14,Dan Tangnes,Rögle BK,24/10/2013
2013/14,Gunnar Leidborg,IF Troja/Ljungby,13/01/2014
2013/14,Patric Wener,Mora IK,13/01/2014
2013/14,Tony Zabel,Djurgårdens IF,30/01/2014
2014/15,Fröberg/Gradin,AIK,14/11/2014
2014/15,Janne Karlsson,Södertälje SK,02/02/2015
2015/16,Nilsen/Rosen,Leksands IF,23/11/2015
2015/16,Göran Tärnlund,IF Sundsvall Hockey,06/01/2016
2015/16,Martin Filander,Västerås IK,12/01/2016
2016/17,Tommy Jonsson,IF Björklöven,29/09/2016
2016/17,Niklas Eriksson,Almtuna IS,09/12/2016
2017/18,Jonas Johnson,HC Vita Hästen,15/01/2018
2018/19,Per Ljusteräng,Tingsryd AIF,18/10/2018
2018/19,Leif Carlsson,Leksands IF,18/12/2018
2019/20,Bobo Simensen,AIK,17/02/2020
2019/20,Jeff Jakobs,Mora IK,19/11/2019
2019/20,Ulf Lundberg,Södertälje SK,23/10/2019
