Match,Resultat,date,score_home,score_away,played_1,played_X,played_2,odds_1,odds_X,odds_2,home,away,outcome,odds_outcome
Skelleft. - Grenoble,1 - 2,2019-09-01,1 , 2,81,13,6,"1,13","8,50","12,70",Skellefteå AIK, Grenoble,2,"12,70"
Frölunda - HC Mountf,2 - 3,2019-09-01,2 , 3,76,16,8,"1,34","5,70","6,25",Frölunda HC, HC Mountf,2,"6,25"
Vienna - Djurgård.,1 - 2,2019-09-01,1 , 2,24,24,52,"4,40","5,45","1,49",Vienna ,Djurgårdens IF,2,"1,49"
GKS Tychy - Mannheim,2 - 2,2019-09-01,2 , 2,11,14,75,"10,50","7,60","1,17",GKS Tychy , Mannheim,X,"7,60"
Card Devi - EC Graz,3 - 3,2019-09-01,3 , 3,31,27,42,"2,85","4,45","1,99",Card Devi , EC Graz,X,"4,45"
Pelicans - Lausanne,4 - 4,2019-09-01,4 , 4,43,27,30,"1,98","3,90","3,12",Pelicans , Lausanne,X,"3,90"
Kärpät - Bern,2 - 2,2019-09-01,2 , 2,46,26,28,"1,83","4,15","3,42",Kärpät , Bern,X,"4,15"
Örebro - Södertäl.,6 - 2,2019-09-01,6 , 2,64,18,18,"1,39","5,25","5,65",Örebro HK,Södertälje SK,1,"1,39"
Oskarsh. - Karlskron,2 - 3,2019-09-04,2 , 3,68,18,14,"1,38","5,40","5,65",IK Oskarshamn,Karlskrona HK,2,"5,65"
Kristian. - Rögle,2 - 2,2019-09-04,2 , 2,13,16,71,"6,25","5,65","1,33",Kristianstads IK,Rögle BK,X,"5,65"
Västerås - BIK Karls,3 - 3,2019-09-04,3 , 3,50,24,26,"1,86","4,45","3,27",Västerås IK,BIK Karlskoga,X,"4,45"
Tranås - Vita Häst,4 - 5,2019-09-04,4 , 5,28,25,47,"3,95","4,65","1,59",Tranås ,HC Vita Hästen,2,"1,59"
Tingsryd - Nybro,3 - 1,2019-09-04,3 , 1,65,18,17,"1,44","5,15","5,05",Tingsryds AIF,Nybro Vikings IF,1,"1,44"
Din Riga - T Novgoro,3 - 0,2019-09-04,3 , 0,46,26,28,"2,28","4,15","2,65",Din Riga , T Novgoro,1,"2,28"
Dyn Moskv - Din Minsk,3 - 2,2019-09-04,3 , 2,67,20,13,"1,40","5,15","6,60",Dyn Moskv , Din Minsk,1,"1,40"
HC Sotji - Nizjnekam,3 - 2,2019-09-04,3 , 2,43,26,31,"1,90","4,10","3,50",HC Sotji , Nizjnekam,1,"1,90"
Ambri - Färjestad,2 - 1,2019-09-05,2 , 1,28,25,47,"3,42","4,25","1,81",Ambri ,Färjestad BK,1,"3,42"
Bern - Skelleft.,4 - 4,2019-09-05,4 , 4,43,27,30,"1,97","4,00","3,10",Bern ,Skellefteå AIK,X,"4,00"
EC Graz - Frölunda,1 - 5,2019-09-05,1 , 5,24,24,52,"3,60","5,05","1,65",EC Graz ,Frölunda HC,2,"1,65"
Grenoble - Kärpät,2 - 6,2019-09-05,2 , 6,21,24,55,"5,90","5,35","1,38",Grenoble , Kärpät,2,"1,38"
Rungsted - Zug,0 - 5,2019-09-05,0 , 5,11,15,74,"6,85","6,20","1,29",Rungsted , Zug,2,"1,29"
Liberec - Belf Gian,6 - 1,2019-09-05,6 , 1,60,23,17,"1,33","5,50","6,75",Liberec , Belf Gian,1,"1,33"
Växjö Lak - Malmö,6 - 3,2019-09-05,6 , 3,45,26,29,"1,78","4,20","3,65",Växjö Lakers HC,IF Malmö Redhawks,1,"1,78"
Södertäl. - Brynäs,1 - 3,2019-09-05,1 , 3,17,18,65,"4,25","4,95","1,56",Södertälje SK,Brynäs IF,2,"1,56"
Örebro - HV71,4 - 2,2019-09-06,4 , 2,33,24,43,"2,57","4,25","2,22",Örebro HK,HV 71,1,"2,57"
Rögle - Oskarsh.,5 - 1,2019-09-06,5 , 1,55,22,23,"1,63","4,45","3,85",Rögle BK,IK Oskarshamn,1,"1,63"
Leksand - AIK,2 - 4,2019-09-06,2 , 4,65,17,18,"1,92","4,30","2,95",Leksands IF,Skellefteå AIK,2,"2,95"
MODO - Timrå,6 - 2,2019-09-06,6 , 2,43,25,32,"1,95","4,25","3,05",MODO Hockey,Timrå IK,1,"1,95"
BIK Karls - Mora,2 - 2,2019-09-06,2 , 2,42,24,34,"2,28","4,20","2,49",BIK Karlskoga,Mora IK,X,"4,20"
Troja/Lju - Tingsryd,1 - 2,2019-09-06,1 , 2,21,20,59,"4,15","4,95","1,53",IF Troja/Ljungby,Tingsryds AIF,2,"1,53"
Djurgård. - Vienna,3 - 6,2019-09-06,3 , 6,79,13,8,"1,28","6,40","7,00",Djurgårdens IF, Vienna,2,"7,00"
Augsburge - Luleå,4 - 4,2019-09-06,4 , 4,28,24,48,"3,10","4,25","1,92",Augsburge ,Luleå HF,X,"4,25"
Södertäl. - Leksand,1 - 3,2019-09-07,1 , 3,25,21,54,"3,80","4,75","1,60",Södertälje SK,Leksands IF,2,"1,60"
HC Mountf - Frölunda,3 - 4,2019-09-07,3 , 4,21,20,59,"3,07","4,40","1,90",HC Mountf ,Frölunda HC,2,"1,90"
Grenoble - Skelleft.,1 - 4,2019-09-07,1 , 4,20,21,59,"5,90","5,25","1,39",Grenoble ,Skellefteå AIK,2,"1,39"
Bern - Kärpät,1 - 1,2019-09-07,1 , 1,39,27,34,"2,32","4,05","2,49",Bern , Kärpät,X,"4,05"
HPK - Zug,1 - 3,2019-09-07,1 , 3,38,26,36,"2,55","4,25","2,20",HPK , Zug,2,"2,20"
Ambri - München,2 - 2,2019-09-07,2 , 2,28,24,48,"2,53","4,30","2,21",Ambri , München,X,"4,30"
Rungsted - Plzen,2 - 4,2019-09-07,2 , 4,8,10,82,"8,40","7,55","1,21",Rungsted , Plzen,2,"1,21"
EC Graz - Card Devi,2 - 5,2019-09-07,2 , 5,54,23,23,"1,51","5,30","4,40",EC Graz , Card Devi,2,"4,40"
HV71 - Linköping,1 - 4,2019-09-08,1 , 4,51,22,27,"1,91","4,00","3,35",HV 71,Linköping HC,2,"3,35"
Södertäl. - AIK,3 - 1,2019-09-08,3 , 1,29,26,45,"2,36","4,30","2,26",Södertälje SK,Skellefteå AIK,1,"2,36"
Sp Moskva - Din Minsk,4 - 5,2019-09-08,4 , 5,56,24,20,"1,51","4,75","5,40",Sp Moskva , Din Minsk,2,"5,40"
Omsk - T Novgoro,4 - 2,2019-09-08,4 , 2,65,20,15,"1,50","4,85","5,45",Omsk , T Novgoro,1,"1,50"
Mannheim - Vienna,4 - 0,2019-09-08,4 , 0,72,15,13,"1,37","5,20","6,30",Mannheim , Vienna,1,"1,37"
Tappara - EHC Biel,1 - 0,2019-09-08,1 , 0,51,23,26,"1,55","5,10","4,20",Tappara , EHC Biel,1,"1,55"
Frisk Ask - EC KAC,0 - 4,2019-09-08,0 , 4,21,21,58,"2,63","4,20","2,16",Frisk Ask , EC KAC,2,"2,16"
Trinec - Yuno Mins,7 - 2,2019-09-08,7 , 2,48,24,28,"1,40","5,15","5,75",Trinec , Yuno Mins,1,"1,40"
Växjö Lak - Rögle,4 - 4,2019-09-10,4 , 4,54,23,23,"1,74","4,35","3,75",Växjö Lakers HC,Rögle BK,X,"4,35"
Jaroslavl - HC Sotji,2 - 1,2019-09-10,2 , 1,53,22,25,"1,60","4,45","4,85",Jaroslavl , HC Sotji,1,"1,60"
