teams
Frölunda HC
Skellefteå AIK
Leksands IF
Djurgårdens IF
Färjestad BK
Luleå HF
Rögle BK
HV 71
Linköping HC
IF Malmö Redhawks
IK Oskarshamn
Örebro HK
Växjö Lakers HC
Brynäs IF
Mora IK
Timrå IK
Karlskrona HK
MODO Hockey
AIK
Södertälje SK
HC Vita Hästen
Kristianstads IK
Almtuna IS
Västerås IK
Tingsryds AIF
Västerviks IK
IF Björklöven
BIK Karlskoga
IK Pantern
IF Troja/Ljungby
Asplöven HC
IF Sundsvall Hockey
Bofors IK
Borås HC
Nybro Vikings IF
Huddinge IK
Mariestad BoIS HC
Hammarby IF
Nyköpings HK
